sample, feature, aX, aY, aZ, gX, gY, gZ
13, RMS, 0.0103,0.0054,0.9940,0.9656,1.5143,5.9135
13, Min, 0.0084,-0.0066,0.9926,0.1831,0.6104,5.4932
13, Max, 0.0123,-0.0039,0.9955,1.6479,2.0752,6.2256
13, PSD, 0.0932,0.0252,862.7874,716.9568,2162.2500,30628.9219
14, Mean, 0.0103,-0.0053,0.9943,0.9413,1.4763,5.9037
14, Std, 0.0009,0.0008,0.0007,0.1362,0.1477,0.1123
14, RMS, 0.0104,0.0054,0.9943,0.9511,1.4837,5.9048
14, Min, 0.0076,-0.0076,0.9916,0.4883,0.9155,5.5542
14, Max, 0.0122,-0.0034,0.9962,1.4038,1.8921,6.1646
14, PSD, 0.0901,0.0251,863.7662,738.0588,1846.3516,30290.3848
15, Mean, 0.0104,-0.0054,0.9940,0.8702,1.4744,5.9018
15, Std, 0.0010,0.0005,0.0006,0.3055,0.3444,0.1683
15, RMS, 0.0104,0.0054,0.9940,0.9223,1.5141,5.9042
15, Min, 0.0083,-0.0068,0.9927,0.3052,0.7324,5.4932
15, Max, 0.0127,-0.0042,0.9952,1.5259,2.1973,6.2866
15, PSD, 0.0900,0.0260,862.8654,788.7131,1647.9043,29965.4531
16, Mean, 0.0102,-0.0053,0.9942,0.9356,1.5140,5.9304
16, Std, 0.0007,0.0006,0.0007,0.1601,0.1551,0.1076
16, RMS, 0.0103,0.0054,0.9942,0.9491,1.5219,5.9314
16, Min, 0.0085,-0.0071,0.9924,0.3052,1.1597,5.4932
16, Max, 0.0122,-0.0040,0.9955,1.4648,1.8921,6.2256
16, PSD, 0.0940,0.0249,862.9971,740.9772,2102.5586,30403.5332
17, Mean, 0.0103,-0.0052,0.9946,0.9131,1.5345,5.9433
17, Std, 0.0006,0.0005,0.0007,0.2993,0.3188,0.1321
17, RMS, 0.0103,0.0052,0.9946,0.9610,1.5672,5.9448
17, Min, 0.0090,-0.0063,0.9930,0.2441,0.7324,5.6152
17, Max, 0.0116,-0.0040,0.9968,1.6479,2.1973,6.2866
17, PSD, 0.0896,0.0238,863.5402,811.8704,1817.8838,30507.2422
18, Mean, 0.0101,-0.0052,0.9945,0.9089,1.5287,5.9376
18, Std, 0.0020,0.0009,0.0008,0.2273,0.2091,0.1182
18, RMS, 0.0103,0.0053,0.9945,0.9368,1.5430,5.9388
18, Min, 0.0056,-0.0078,0.9929,0.1831,1.0376,5.6152
18, Max, 0.0150,-0.0028,0.9963,1.4648,2.1362,6.2866
18, PSD, 0.0901,0.0229,863.8517,752.3582,1892.7611,30554.1016
19, Mean, 0.0103,-0.0051,0.9946,0.8917,1.4639,5.8994
19, Std, 0.0013,0.0012,0.0009,0.2338,0.2421,0.1264
19, RMS, 0.0104,0.0053,0.9946,0.9218,1.4838,5.9008
19, Min, 0.0072,-0.0082,0.9923,0.1831,0.8545,5.4932
19, Max, 0.0134,-0.0022,0.9977,1.4648,2.1362,6.1646
19, PSD, 0.0926,0.0228,864.1631,755.2137,1886.5509,30771.2422
20, Mean, 0.0102,-0.0052,0.9941,0.9246,1.4920,5.9199
20, Std, 0.0011,0.0008,0.0009,0.1476,0.1352,0.0987
20, RMS, 0.0103,0.0052,0.9941,0.9363,1.4981,5.9208
20, Min, 0.0079,-0.0070,0.9911,0.3052,1.0376,5.6763
20, Max, 0.0132,-0.0031,0.9963,1.4038,1.7700,6.1646
20, PSD, 0.0902,0.0224,862.9120,766.7776,1889.2081,30280.4180
21, Mean, 0.0102,-0.0052,0.9941,0.9618,1.4873,5.9476
21, Std, 0.0006,0.0008,0.0008,0.1159,0.1116,0.1040
21, RMS, 0.0102,0.0053,0.9941,0.9687,1.4914,5.9485
21, Min, 0.0085,-0.0070,0.9921,0.4883,1.2207,5.6763
21, Max, 0.0115,-0.0031,0.9976,1.2817,1.7700,6.2256
21, PSD, 0.0888,0.0232,863.0245,864.4893,2013.2504,30980.3516
22, Mean, 0.0101,-0.0051,0.9938,0.9103,1.4663,5.9156
22, Std, 0.0015,0.0011,0.0012,0.1477,0.1480,0.1064
22, RMS, 0.0102,0.0052,0.9938,0.9222,1.4737,5.9166
22, Min, 0.0059,-0.0076,0.9895,0.5493,0.9155,5.6763
22, Max, 0.0133,-0.0020,0.9980,1.4038,1.8311,6.1035
22, PSD, 0.0905,0.0223,862.3111,691.6895,1815.3448,30164.0332
23, Mean, 0.0101,-0.0051,0.9937,0.8807,1.5163,5.9237
23, Std, 0.0012,0.0010,0.0011,0.2083,0.2083,0.1207
23, RMS, 0.0102,0.0052,0.9937,0.9050,1.5306,5.9250
23, Min, 0.0073,-0.0072,0.9907,0.2441,0.9766,5.6763
23, Max, 0.0131,-0.0027,0.9972,1.4648,2.1362,6.2256
23, PSD, 0.0884,0.0233,862.2714,604.5013,2337.5042,31111.6504
24, Mean, 0.0101,-0.0053,0.9941,1.0276,1.4462,5.9419
24, Std, 0.0018,0.0026,0.0014,0.3204,0.3287,0.1494
24, RMS, 0.0103,0.0059,0.9941,1.0764,1.4831,5.9437
24, Min, 0.0061,-0.0098,0.9908,0.3662,0.6714,5.6152
24, Max, 0.0144,-0.0007,0.9978,1.6479,2.0752,6.2866
24, PSD, 0.0901,0.0232,863.1861,1256.7969,1615.4910,31202.0664
25, Mean, 0.0101,-0.0053,0.9933,0.9274,1.5149,6.0930
25, Std, 0.0028,0.0033,0.0014,0.1960,0.2039,0.8499
25, RMS, 0.0105,0.0062,0.9933,0.9479,1.5286,6.1520
25, Min, -0.0004,-0.0154,0.9889,0.3052,0.8545,5.0049
25, Max, 0.0165,-0.0002,0.9971,1.4648,2.0752,11.0474
25, PSD, 0.0895,0.0257,861.6294,829.0551,2006.3804,29394.6758
26, Mean, -0.0620,-0.1752,-0.9931,-4.3998,1.5068,3.2778
26, Std, 0.0286,0.1561,0.0571,49.5058,3.6667,12.0728
26, RMS, 0.0683,0.2346,0.9947,49.7009,3.9642,12.5099
26, Min, -0.1992,-0.7343,-1.1855,-163.5742,-15.6250,-41.9312
26, Max, 0.0818,0.3044,-0.8524,192.5049,18.8599,38.6963
26, PSD, 3.0591,66.5184,851.0587,2198604.0000,7877.8784,48587.3086
27, Mean, -0.0617,-0.2616,-0.9745,0.9370,1.4763,6.2256
27, Std, 0.0023,0.0020,0.0009,0.2152,0.2047,0.1218
27, RMS, 0.0618,0.2616,0.9745,0.9614,1.4904,6.2268
27, Min, -0.0660,-0.2655,-0.9764,0.1831,0.9155,5.8594
27, Max, -0.0577,-0.2574,-0.9723,1.4648,2.1973,6.5308
27, PSD, 3.3351,59.8049,829.4529,832.5902,1926.4597,33502.3242
28, Mean, -0.0616,-0.2617,-0.9746,0.9351,1.4563,6.2323
28, Std, 0.0048,0.0037,0.0016,0.1439,0.1437,0.1080
28, RMS, 0.0618,0.2617,0.9746,0.9461,1.4633,6.2332
28, Min, -0.0719,-0.2705,-0.9799,0.6104,0.6714,5.9204
28, Max, -0.0531,-0.2542,-0.9700,1.4038,1.8311,6.5308
28, PSD, 3.3054,59.7434,829.4612,732.6060,1790.8184,33683.1172
29, Mean, -0.0617,-0.2616,-0.9746,0.8821,1.4768,6.1913
29, Std, 0.0018,0.0017,0.0008,0.3152,0.3591,0.1690
29, RMS, 0.0618,0.2616,0.9746,0.9368,1.5198,6.1936
29, Min, -0.0669,-0.2664,-0.9773,0.2441,0.7935,5.7983
