sample, feature, aX, aY, aZ, gX, gY, gZ
13, Mean, 0.1396,1.0492,-0.1124,2.7118,4.2171,-3.9062
13, Std, 0.1410,0.6105,0.0862,27.7632,13.2982,72.1391
13, RMS, 0.1984,1.2139,0.1416,27.8953,13.9508,72.2448
13, Min, -0.1073,0.0693,-0.2557,-45.1050,-17.5781,-113.8306
13, Max, 0.3663,2.0754,0.0911,42.4805,25.3296,100.1587
13, PSD, 30.0437,687.0415,41.7805,1534178.5000,394717.4062,9512488.0000
14, Mean, 0.1965,1.0393,-0.1376,2.1019,3.1257,-7.3085
14, Std, 0.1756,0.5891,0.0713,16.2914,6.3116,68.3188
14, RMS, 0.2635,1.1946,0.1550,16.4265,7.0432,68.7086
14, Min, -0.0996,0.1799,-0.2694,-25.6958,-15.0757,-105.5298
14, Max, 0.4462,2.1018,-0.0022,31.6162,13.0005,99.8535
14, PSD, 62.8653,556.6079,21.7071,290363.7812,24581.0449,8761869.0000
15, Mean, 0.1064,0.8235,-0.1301,3.6855,2.1687,8.5778
15, Std, 0.1304,0.4536,0.0719,14.5799,4.9960,64.6608
15, RMS, 0.1683,0.9401,0.1487,15.0385,5.4464,65.2273
15, Min, -0.0833,0.2521,-0.2683,-24.3530,-6.5918,-90.5762
15, Max, 0.3302,1.8297,0.0822,33.5083,15.5640,106.3232
15, PSD, 81.4211,2188.9067,10.0425,341923.4687,26423.1309,7097011.0000
16, Mean, 0.2294,0.9854,-0.1198,-0.5398,3.4676,18.3644
16, Std, 0.1991,0.6815,0.1003,24.2448,11.6210,82.0877
16, RMS, 0.3038,1.1981,0.1562,24.2508,12.1273,84.1168
16, Min, -0.0717,0.0808,-0.2838,-38.8184,-14.5264,-127.3804
16, Max, 0.5371,2.4055,0.1565,37.8418,43.2739,129.1504
16, PSD, 84.7595,1224.6218,10.1530,1006289.2500,246907.6875,16481016.0000
17, Mean, 0.1626,1.0405,-0.1391,-1.4987,1.8721,-1.2460
17, Std, 0.1450,0.4938,0.0778,22.6547,13.3622,67.7500
17, RMS, 0.2178,1.1517,0.1594,22.7043,13.4927,67.7614
17, Min, -0.1017,0.2734,-0.4373,-43.2739,-33.6914,-92.2241
17, Max, 0.4427,1.9380,0.0231,49.8657,28.8086,106.2622
17, PSD, 41.6291,451.1811,17.2948,513034.3437,183697.4531,10133108.0000
18, Mean, 0.1035,0.8467,-0.1602,3.2272,6.9151,7.7605
18, Std, 0.1177,0.3846,0.1024,23.3052,13.0002,66.6492
18, RMS, 0.1567,0.9300,0.1901,23.5276,14.7249,67.0995
18, Min, -0.0789,0.3113,-0.3889,-44.7388,-13.3667,-88.7451
18, Max, 0.3826,1.7225,0.0966,50.0488,40.2222,97.9614
18, PSD, 62.5625,1934.7285,25.5675,819275.9375,205329.7969,7894425.5000
19, Mean, 0.1212,0.9168,-0.1357,-0.0920,-4.3378,12.1536
19, Std, 0.1252,0.3555,0.0730,22.4718,13.4348,67.7765
