sample, feature, aX, aY, aZ, gX, gY, gZ
13, Mean, -0.1072,0.9541,0.1491,-3.0413,-5.3563,3.0103
13, Std, 0.1303,0.0771,0.4742,14.2994,57.8082,17.3554
13, RMS, 0.1688,0.9572,0.4971,14.6192,58.0558,17.6145
13, Min, -0.3873,0.8407,-0.7532,-25.9399,-76.6602,-31.3110
13, Max, 0.1555,1.1313,0.9104,22.1558,92.2852,38.3301
13, PSD, 26.8008,936.7885,433.9350,321230.6875,6574736.0000,561051.8750
14, Mean, -0.0610,0.9689,0.0224,3.9954,11.7698,8.6236
14, Std, 0.1383,0.0831,0.5982,22.6092,60.0498,17.7024
14, RMS, 0.1511,0.9725,0.5986,22.9596,61.1924,19.6911
14, Min, -0.3170,0.7705,-1.0681,-54.6265,-71.6553,-22.0337
14, Max, 0.1844,1.1067,1.0333,40.8936,119.9341,43.7622
14, PSD, 29.1805,729.2401,447.0894,406913.9375,5746305.5000,327843.7187
15, Mean, -0.1347,0.9375,0.1779,2.2430,-9.2077,5.0473
15, Std, 0.0935,0.1339,0.5236,16.1548,72.7820,21.9108
15, RMS, 0.1640,0.9470,0.5530,16.3097,73.3621,22.4846
15, Min, -0.2996,0.6777,-0.9081,-44.4946,-112.0605,-29.7241
15, Max, 0.0297,1.1946,0.9449,32.2266,121.1548,46.5088
15, PSD, 10.7099,969.7725,491.1883,493420.8750,8863171.0000,468399.0000
16, Mean, -0.0130,0.9448,-0.0489,-5.8084,-26.6089,-1.8072
16, Std, 0.1309,0.1240,0.6717,26.9989,97.2277,22.0704
16, RMS, 0.1315,0.9529,0.6735,27.6166,100.8031,22.1443
16, Min, -0.3781,0.7096,-1.2239,-48.4619,-135.2539,-40.7104
16, Max, 0.1432,1.1659,1.2048,51.2695,146.8506,58.7769
16, PSD, 34.5453,778.8732,888.2996,1180279.3750,18168708.0000,676970.1875
17, Mean, 0.0030,0.9413,-0.0443,-2.6760,-26.1192,0.3271
17, Std, 0.1403,0.0887,0.6162,30.7981,97.1402,17.2360
17, RMS, 0.1403,0.9454,0.6178,30.9141,100.5905,17.2391
17, Min, -0.3123,0.7865,-1.2504,-56.2744,-140.7471,-26.2451
17, Max, 0.2190,1.1146,1.0392,58.4106,142.2119,44.1284
17, PSD, 41.6105,815.9016,862.5890,1532210.2500,18648756.0000,658985.5000
18, Mean, -0.0123,0.9492,-0.0028,0.1912,-27.1792,2.0318
18, Std, 0.1428,0.0895,0.5729,23.0356,95.4737,14.0044
18, RMS, 0.1433,0.9534,0.5729,23.0364,99.2670,14.1511
18, Min, -0.3400,0.8109,-0.9631,-31.3721,-143.8599,-18.4937
18, Max, 0.1858,1.1191,1.0475,43.5791,142.1509,41.5039
18, PSD, 30.1103,821.3955,781.7478,1316628.8750,17589732.0000,262598.0000
19, Mean, -0.0595,0.9629,-0.0269,0.4034,-24.0312,3.7222
19, Std, 0.1168,0.0928,0.5709,25.2476,73.5872,22.1659
19, RMS, 0.1311,0.9674,0.5716,25.2509,77.4117,22.4762
19, Min, -0.3029,0.7572,-1.0682,-65.3076,-109.4360,-27.8320
19, Max, 0.1422,1.1208,0.8582,43.8232,122.3755,41.6870
19, PSD, 45.8847,716.0964,655.4347,233531.2656,9917646.0000,1319133.8750
20, Mean, -0.0168,0.9805,-0.0582,-1.6794,-16.3460,-2.2917
20, Std, 0.1084,0.1035,0.5839,22.7866,76.5663,17.4784
20, RMS, 0.1097,0.9859,0.5868,22.8484,78.2917,17.6280
20, Min, -0.2352,0.7576,-1.0699,-55.6641,-108.3984,-25.5127
20, Max, 0.1333,1.2017,0.9292,29.9683,113.0981,40.0391
20, PSD, 25.1875,786.4568,636.0195,251546.1563,11520206.0000,594555.5625
21, Mean, -0.0140,0.9819,-0.0002,-1.4234,-21.9679,-2.2926
21, Std, 0.1295,0.1262,0.5951,25.9872,82.8136,19.9923
21, RMS, 0.1302,0.9899,0.5951,26.0262,85.6777,20.1234
21, Min, -0.2897,0.7430,-1.0298,-63.1714,-114.8071,-32.7759
21, Max, 0.2043,1.1625,0.8956,29.1138,121.3379,42.4805
21, PSD, 36.6534,769.6221,716.6260,407478.1875,13043521.0000,758310.7500
22, Mean, -0.0231,0.9663,-0.1019,1.9035,-15.3532,0.0830
22, Std, 0.1461,0.1041,0.6772,28.3614,90.0710,22.1704
22, RMS, 0.1480,0.9719,0.6848,28.4252,91.3702,22.1706
22, Min, -0.3640,0.7708,-1.3127,-66.0400,-127.7466,-32.7759
22, Max, 0.2201,1.2122,1.0975,37.1704,144.8975,65.6738
22, PSD, 46.4922,739.5500,827.1647,529577.1250,14733956.0000,1075542.2500
23, Mean, -0.0131,0.9921,-0.1554,-2.6116,4.9152,1.5955
23, Std, 0.1403,0.1110,0.6604,25.0736,86.0973,17.0784
23, RMS, 0.1409,0.9983,0.6784,25.2092,86.2375,17.1528
23, Min, -0.2737,0.7299,-1.1456,-49.3774,-114.2578,-31.3721
23, Max, 0.2936,1.2202,1.0414,45.9595,144.4702,40.3442
23, PSD, 37.1622,767.7638,739.5667,673557.4375,11229242.0000,603187.8750
24, Mean, -0.1623,0.9433,0.0909,5.3902,-11.7259,4.4956
24, Std, 0.2299,0.1227,0.6272,22.7508,80.3818,26.7168
24, RMS, 0.2814,0.9513,0.6337,23.3806,81.2326,27.0924
24, Min, -0.5796,0.6481,-1.0626,-49.1333,-116.6992,-43.0908
24, Max, 0.3961,1.2148,1.0759,38.5132,134.2163,66.8335
24, PSD, 109.4204,925.9458,838.0156,351419.9375,14595300.0000,903285.7500
25, Mean, -0.1561,0.9738,0.0628,2.2426,5.1646,5.0311
25, Std, 0.0654,0.0644,0.3322,11.2646,45.2938,10.6124
25, RMS, 0.1693,0.9760,0.3381,11.4856,45.5873,11.7446
25, Min, -0.3416,0.7810,-0.6292,-15.6860,-64.3921,-22.6440
25, Max, -0.0342,1.0892,0.5980,37.1704,65.7959,23.0713
